"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"Yankees","17","8","23","211","0","249.2","10.02","3.60","1.19",".284","73.9 %","47.3 %","14.7 %","3.89","3.97","3.99","3.4"
"Reds","12","16","16","229","0","228.1","9.93","3.27","0.99",".294","76.4 %","44.7 %","13.2 %","3.55","3.53","3.71","3.3"
"Rays","17","14","17","214","0","297.0","8.82","3.36","0.88",".283","75.4 %","44.9 %","10.4 %","3.39","3.71","4.25","3.2"
"Indians","14","7","20","215","0","207.2","9.19","2.82","1.08",".288","79.7 %","41.2 %","11.8 %","3.21","3.77","4.17","2.8"
"Athletics","8","15","15","236","0","258.2","8.77","3.90","1.01",".296","71.4 %","34.8 %","9.1 %","4.42","4.07","4.99","2.6"
"Astros","17","4","20","189","0","217.1","9.86","3.40","1.20",".257","78.5 %","43.2 %","14.3 %","3.44","3.91","3.97","2.4"
"Red Sox","16","8","14","226","0","257.1","10.46","3.67","1.22",".294","73.3 %","43.3 %","13.9 %","4.20","3.98","4.09","2.4"
"Brewers","14","13","20","225","0","274.1","10.10","3.81","1.28",".284","70.8 %","46.7 %","17.0 %","4.46","4.10","3.87","2.3"
"Giants","15","7","16","215","0","249.2","9.16","3.21","1.05",".282","74.5 %","44.5 %","12.5 %","3.82","3.92","4.20","1.9"
"Rockies","14","5","12","231","0","229.2","8.27","3.68","1.06",".281","74.6 %","45.3 %","11.9 %","3.92","4.16","4.53","1.9"
"Twins","10","7","19","196","0","202.0","9.76","3.74","1.25",".321","72.6 %","40.4 %","13.9 %","4.63","4.21","4.32","1.8"
"Angels","22","11","17","231","0","312.2","9.64","3.97","1.55",".291","77.1 %","37.9 %","14.8 %","4.52","4.74","4.74","1.2"
"Royals","6","14","8","200","0","228.1","8.87","4.06","1.14",".321","73.1 %","43.8 %","12.8 %","4.81","4.38","4.65","1.0"
"Diamondbacks","11","12","15","214","0","248.2","8.61","3.55","1.27",".305","76.2 %","45.6 %","15.8 %","4.20","4.45","4.34","1.0"
"Cardinals","11","10","19","216","0","222.1","10.36","3.97","1.30",".253","73.9 %","40.8 %","16.1 %","4.09","4.17","4.03","1.0"
"Dodgers","12","13","21","207","0","203.0","8.82","3.19","1.29",".269","67.3 %","44.8 %","14.3 %","4.48","4.37","4.45","1.0"
"Rangers","17","11","15","207","0","269.1","7.99","3.78","1.40",".304","70.8 %","42.8 %","15.0 %","4.81","4.79","4.77","0.8"
"Padres","14","8","26","220","0","241.1","9.99","2.83","1.53",".291","72.1 %","44.6 %","18.0 %","4.51","4.22","3.83","0.7"
"Cubs","14","10","15","217","0","213.2","9.06","4.68","1.14",".302","74.3 %","48.3 %","16.4 %","4.30","4.41","4.25","0.7"
"Blue Jays","13","11","13","216","0","260.1","9.44","3.84","1.52",".278","78.8 %","42.2 %","15.7 %","4.04","4.65","4.53","0.6"
"White Sox","10","9","15","210","0","218.0","8.34","4.33","1.24",".273","72.1 %","43.9 %","13.0 %","4.33","4.66","4.92","0.6"
"Mets","13","11","16","198","0","219.1","9.40","4.23","1.27",".317","69.2 %","39.2 %","12.4 %","5.13","4.51","4.88","0.5"
"Nationals","10","14","15","222","0","199.0","9.41","3.98","1.49",".327","63.4 %","38.8 %","13.9 %","6.33","4.82","4.98","0.1"
"Phillies","10","10","20","219","0","226.1","9.30","3.86","1.59",".305","76.9 %","42.7 %","16.8 %","4.25","4.81","4.54","0.0"
"Braves","17","9","18","241","0","246.0","9.66","4.32","1.43",".300","74.6 %","42.9 %","15.6 %","4.24","4.63","4.54","0.0"
"Orioles","6","15","14","201","0","259.2","8.73","4.23","1.73",".296","69.6 %","44.4 %","18.6 %","5.61","5.35","4.85","-0.3"
"Mariners","9","13","14","228","0","262.2","9.08","4.97","1.47",".300","68.2 %","43.4 %","16.6 %","5.21","5.04","4.81","-0.5"
"Pirates","13","12","17","211","0","253.0","9.75","4.41","1.67",".318","69.5 %","40.4 %","17.1 %","5.58","5.03","4.72","-0.8"
"Marlins","6","13","13","202","0","215.1","9.74","4.81","1.38",".306","72.3 %","38.8 %","14.1 %","5.14","4.79","4.89","-1.0"
"Tigers","12","11","19","226","0","231.0","7.68","4.21","1.91",".285","71.5 %","44.0 %","18.7 %","5.30","5.76","5.19","-1.2"
