"Team","PA","BB%","K%","BB/K","SB","OBP","SLG","OPS","ISO","Spd","BABIP","wRC","wRAA","wOBA","wRC+"
"Twins","1903","8.0 %","20.2 %","0.40","16",".330",".516",".846",".252","4.3",".284","292","56.5",".353","120"
"Dodgers","1765","9.9 %","19.3 %","0.51","17",".350",".479",".829",".210","4.4",".298","263","45.0",".348","119"
"Yankees","1966","10.0 %","21.7 %","0.46","23",".341",".471",".812",".208","4.5",".296","285","42.3",".343","115"
"Rangers","1815","9.6 %","24.5 %","0.39","36",".344",".467",".811",".202","5.2",".322","263","39.0",".343","108"
"Astros","1927","9.1 %","17.4 %","0.53","28",".337",".469",".805",".203","4.2",".281","273","35.5",".339","117"
"Cubs","2091","10.4 %","22.9 %","0.46","15",".342",".455",".797",".199","3.5",".300","292","34.1",".337","108"
"Red Sox","1934","10.6 %","20.7 %","0.51","31",".346",".442",".789",".178","4.4",".309","268","29.6",".336","106"
"Rays","1822","8.7 %","22.6 %","0.39","33",".337",".452",".790",".191","5.1",".310","253","27.6",".335","113"
"Angels","1738","9.7 %","17.0 %","0.57","23",".344",".443",".787",".178","4.3",".289","239","24.8",".334","113"
"Brewers","1935","10.0 %","25.0 %","0.40","30",".335",".452",".787",".197","4.2",".305","264","24.9",".332","104"
"Braves","1984","9.5 %","22.2 %","0.43","20",".333",".443",".776",".186","4.0",".300","263","18.4",".329","101"
"Mariners","1971","9.2 %","25.0 %","0.37","37",".318",".456",".774",".213","4.5",".281","260","16.5",".327","110"
"Rockies","1735","8.0 %","23.2 %","0.35","15",".325",".451",".776",".189","5.1",".315","226","11.9",".327","86"
"Cardinals","1985","9.2 %","22.5 %","0.41","32",".328",".407",".735",".157","4.5",".301","240","-5.5",".316","95"
"Pirates","1901","7.7 %","20.7 %","0.37","23",".324",".418",".743",".159","4.7",".309","230","-4.7",".315","95"
"Phillies","1931","9.8 %","22.9 %","0.43","18",".322",".417",".739",".176","4.1",".289","232","-6.6",".314","94"
"Royals","1795","7.8 %","22.8 %","0.34","39",".315",".424",".739",".173","6.2",".304","216","-5.7",".314","95"
"Mets","1944","8.7 %","23.3 %","0.38","18",".319",".412",".731",".168","3.7",".293","230","-9.9",".312","97"
"Diamondbacks","1848","8.3 %","22.8 %","0.37","33",".311",".421",".732",".182","5.4",".282","216","-12.5",".310","89"
"Nationals","1884","8.6 %","23.7 %","0.36","20",".313",".410",".723",".170","4.1",".286","217","-15.2",".309","87"
"Athletics","2015","8.6 %","21.0 %","0.41","18",".308",".406",".715",".172","3.8",".266","230","-19.3",".306","93"
"White Sox","1905","6.8 %","25.5 %","0.27","31",".307",".402",".710",".153","4.0",".309","212","-23.3",".303","90"
"Indians","1686","10.0 %","23.4 %","0.43","34",".312",".394",".706",".165","4.4",".271","187","-21.4",".302","84"
"Padres","1947","7.0 %","26.9 %","0.26","25",".292",".406",".698",".172","3.8",".285","204","-36.2",".297","84"
"Reds","1845","8.3 %","24.4 %","0.34","20",".298",".398",".696",".173","3.5",".266","194","-34.3",".296","79"
"Orioles","1653","7.3 %","22.8 %","0.32","17",".294",".398",".691",".167","4.5",".272","173","-31.1",".295","83"
"Giants","1631","8.2 %","23.7 %","0.35","15",".289",".377",".667",".156","3.7",".266","157","-44.1",".286","78"
"Tigers","1992","7.2 %","26.2 %","0.28","27",".290",".378",".668",".149","4.5",".292","191","-54.7",".285","76"
"Blue Jays","1729","7.9 %","25.2 %","0.31","12",".282",".377",".659",".163","3.2",".255","163","-50.8",".283","75"
"Marlins","1772","7.4 %","25.0 %","0.30","20",".299",".342",".641",".108","2.9",".300","160","-58.6",".279","75"
