"Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"Twins","2509","8.1 %","20.1 %","0.40",".274",".340",".516",".856",".243","4.2",".298","-4.9","2.0","-1.7","395","85.1",".358","124"
"Astros","2618","9.6 %","17.6 %","0.55",".268",".342",".475",".817",".207","4.3",".287","1.0","-3.2","-2.1","382","58.9",".344","120"
"Dodgers","2644","10.2 %","20.1 %","0.51",".263",".346",".461",".807",".198","4.2",".297","3.0","3.0","0.4","376","49.1",".340","114"
"Cubs","2572","10.6 %","23.3 %","0.45",".253",".341",".453",".793",".199","3.6",".297","0.7","-0.9","-3.5","356","38.4",".336","107"
"Brewers","2624","9.9 %","24.2 %","0.41",".254",".334",".457",".792",".203","4.1",".299","2.7","-2.5","2.1","362","37.5",".334","105"
"Rangers","2574","9.4 %","25.2 %","0.37",".258",".335",".451",".786",".194","5.5",".318","3.3","0.3","2.2","352","34.5",".333","102"
"Yankees","2524","9.5 %","22.7 %","0.42",".258",".333",".450",".783",".192","4.1",".298","0.4","-0.4","1.2","342","30.5",".332","107"
"Rays","2571","9.0 %","24.4 %","0.37",".260",".336",".440",".776",".180","4.7",".320","1.6","1.1","0.6","346","28.4",".330","110"
"Braves","2609","9.4 %","22.0 %","0.43",".258",".333",".448",".780",".189","4.3",".300","1.7","1.4","-1.7","348","26.0",".330","102"
"Angels","2627","9.7 %","16.7 %","0.58",".258",".338",".434",".772",".177","3.8",".279","2.9","-5.2","0.3","350","25.2",".328","109"
"Diamondbacks","2697","7.8 %","22.0 %","0.35",".258",".323",".458",".780",".200","5.1",".298","-0.5","-2.0","3.3","356","23.0",".328","100"
"Mariners","2723","9.6 %","25.4 %","0.38",".242",".321",".453",".774",".211","4.4",".284","-0.8","2.5","3.1","361","24.8",".328","111"
"Red Sox","2675","10.0 %","21.2 %","0.47",".257",".336",".436",".772",".179","4.4",".299","2.6","-1.2","0.8","354","24.1",".328","101"
"Rockies","2566","7.9 %","24.0 %","0.33",".262",".324",".453",".777",".191","5.1",".320","0.3","1.1","-2.7","336","19.1",".327","86"
"Nationals","2566","8.7 %","23.1 %","0.38",".252",".326",".428",".754",".176","4.3",".301","-1.9","0.0","0.5","324","6.6",".321","96"
"Mets","2591","8.5 %","23.8 %","0.36",".250",".324",".425",".748",".175","3.7",".301","-5.9","-1.4","-1.2","322","2.2",".319","102"
"Athletics","2667","8.6 %","20.4 %","0.42",".245",".317",".430",".747",".185","3.7",".273","2.2","-1.1","-2.3","330","0.6",".318","101"
"Phillies","2575","9.7 %","22.3 %","0.43",".246",".325",".422",".747",".177","4.0",".293","0.2","2.0","-1.8","315","-3.0",".317","95"
"Cardinals","2471","9.3 %","22.2 %","0.42",".247",".326",".407",".734",".160","4.2",".293","3.8","0.3","2.4","298","-7.6",".315","95"
"Pirates","2535","6.9 %","21.9 %","0.31",".256",".314",".407",".721",".150","4.3",".310","-0.3","1.7","1.8","289","-24.2",".307","90"
"Royals","2469","7.8 %","23.5 %","0.33",".244",".309",".406",".715",".162","6.1",".298","-0.2","0.7","2.8","277","-27.7",".304","88"
"White Sox","2418","6.8 %","25.4 %","0.27",".251",".310",".399",".709",".148","3.8",".313","4.2","3.1","-0.5","270","-28.5",".304","91"
"Padres","2421","7.5 %","27.0 %","0.28",".231",".294",".409",".704",".178","3.8",".281","-3.7","-5.0","0.3","259","-39.6",".299","86"
"Orioles","2477","6.9 %","23.9 %","0.29",".238",".298",".401",".700",".163","4.3",".285","-0.9","0.3","0.5","267","-39.4",".299","85"
"Reds","2429","8.2 %","23.3 %","0.35",".232",".303",".399",".701",".166","3.8",".273","-5.2","-0.1","-2.9","260","-39.8",".299","81"
"Indians","2443","10.0 %","23.3 %","0.43",".227",".310",".386",".695",".159","4.0",".269","3.0","0.7","0.5","263","-38.8",".299","82"
"Tigers","2383","7.4 %","26.2 %","0.28",".232",".294",".382",".676",".150","4.7",".297","-1.8","4.0","1.2","236","-58.3",".289","79"
"Blue Jays","2415","7.9 %","25.0 %","0.32",".218",".284",".376",".660",".159","3.4",".262","-3.9","0.7","-0.7","228","-70.7",".283","75"
"Giants","2415","8.1 %","23.7 %","0.34",".222",".289",".364",".653",".142","3.7",".271","-3.2","1.8","-1.5","223","-75.5",".281","74"
"Marlins","2417","6.8 %","23.8 %","0.29",".234",".294",".345",".639",".111","2.8",".293","0.3","-3.8","-1.3","214","-84.4",".277","73"
